email,password,name
demo@utoronto.ca,demo123,Demo User
alex@mail.utoronto.ca,alex123,Alex Chen
diego@mail.utoronto.ca,diego123,Diego Zhu
jordan@mail.utoronto.ca,jordan123,Jordan Lee
sam@mail.utoronto.ca,sam123,Sam Patel
maya@mail.utoronto.ca,maya123,Maya Kim
taylor@mail.utoronto.ca,taylor123,Taylor Wong
riley@mail.utoronto.ca,riley123,Riley Moore
jordan.hayes@mail.utoronto.ca,jordanh123,Jordan Hayes
morgan@mail.utoronto.ca,morgan123,Morgan Reed
casey@mail.utoronto.ca,casey123,Casey Park
blake@mail.utoronto.ca,blake123,Blake Sullivan
